PROTEINS,LE8z_revTOTAL,LE8z_revLIFESTYLE,LE8z_revBIOLOGICAL,LE8z_revDIET,LE8z_revPA,LE8z_revSMOKING,LE8z_revSLEEP,LE8z_revBMI,LE8z_revLIPIDS,LE8z_revGLUCOSE,LE8z_revBP
KYNU,0.22,0.08,0.25,0.06,0.05,0,0.04,0.17,0.12,0.12,0.11
LAMP2,0.24,0.07,0.28,0.06,0.04,0.01,0.03,0.15,0.17,0.11,0.11
LDLR,0.37,0.09,0.45,0.06,0.07,0.01,0.03,0.23,0.4,0.09,0.11
LPL,-0.2,-0.1,-0.2,-0.06,-0.06,-0.03,-0.01,-0.09,-0.11,-0.14,-0.07
MEGF9,0.22,0.06,0.26,0.06,0.04,0,0.03,0.14,0.15,0.07,0.12
MVK,0.21,0.1,0.2,0.07,0.06,0.03,0.03,0.15,0.06,0.18,0.09
NOMO1,0.28,0.11,0.3,0.09,0.08,0.01,0.03,0.24,0.11,0.11,0.11
NPY,0.21,0.05,0.26,0.04,0.04,0,0.01,0.08,0.23,0.13,0.05
OXT,0.27,0.12,0.28,0.11,0.07,0,0.02,0.28,0.04,0.12,0.1
P4HB,0.22,0.09,0.24,0.08,0.05,0.03,0.03,0.13,0.19,0.11,0.05
PAMR1,0.29,0.06,0.37,0.04,0.06,-0.01,0.02,0.27,0.2,0.14,0.11
PLA2G10,-0.21,-0.04,-0.27,-0.03,-0.01,0,-0.01,-0.13,-0.23,0.01,-0.12
PLAT,0.34,0.14,0.35,0.1,0.1,0.04,0.03,0.27,0.16,0.12,0.11
PRCP,0.29,0.12,0.3,0.08,0.09,0.04,0.03,0.21,0.1,0.26,0.09
PROC,0.2,0.04,0.26,0.04,0.03,-0.02,0.03,0.06,0.27,0.04,0.09
PTS,0.25,0.08,0.29,0.07,0.07,-0.03,0.04,0.25,0.09,0.18,0.09
RARRES2,0.35,0.17,0.34,0.12,0.11,0.07,0.04,0.28,0.17,0.15,0.06
SCLY,0.23,0.1,0.25,0.08,0.06,0.01,0.04,0.17,0.09,0.13,0.12
SLC39A5,0.21,0.09,0.21,0.08,0.05,0,0.03,0.16,0.13,0.04,0.04
SORD,0.23,0.07,0.27,0.06,0.06,-0.03,0.03,0.19,0.12,0.13,0.1
SSC4D,0.28,0.06,0.35,0.04,0.08,-0.04,0.01,0.32,0.14,0.12,0.06
ST6GAL1,0.23,0.11,0.23,0.06,0.07,0.07,0.03,0.14,0.16,0.14,0.05
TFPI,0.25,0.06,0.3,0.06,0.02,0.05,0.02,0.08,0.35,0.03,0.09
VWA1,0.26,0.15,0.23,0.09,0.07,0.11,0.03,0.18,0.08,0.1,0.09
